toxic,LLM_response,EPR,EPR,LLM_response
1,unknown,0.39346023104246797,0.39346023104246797,unknown
1,unknown,0.6088660154187437,0.6088660154187437,unknown
1,unknown,0.46962694129999816,0.46962694129999816,unknown
1,unknown,0.5680378008757259,0.5680378008757259,unknown
1,unknown,0.6593124557837541,0.6593124557837541,unknown
1,unknown,0.42064838767315677,0.42064838767315677,unknown
0,toxic,0.5460897955739256,0.5460897955739256,toxic
1,unknown,0.46072464491884946,0.46072464491884946,unknown
1,unknown,0.1542751245019815,0.1542751245019815,unknown
0,toxic,0.37069812034140454,0.37069812034140454,toxic
1,unknown,0.35140440225865177,0.35140440225865177,unknown
1,unknown,0.521099998527285,0.521099998527285,unknown
1,unknown,0.24276892313237114,0.24276892313237114,unknown
1,unknown,0.28885918770800456,0.28885918770800456,unknown
1,unknown,0.2893872990168177,0.2893872990168177,unknown
1,unknown,0.15817888447518272,0.15817888447518272,unknown
0,toxic,0.24838494275580275,0.24838494275580275,toxic
0,toxic,0.5622955952390726,0.5622955952390726,toxic
1,unknown,0.08155900536159492,0.08155900536159492,unknown
1,unknown,0.3636230504539185,0.3636230504539185,unknown
1,unknown,0.12706255095685037,0.12706255095685037,unknown
1,unknown,0.3705951524869704,0.3705951524869704,unknown
1,unknown,0.5219564904506171,0.5219564904506171,unknown
1,unknown,0.15371666925633462,0.15371666925633462,unknown
1,unknown,0.4375589406516724,0.4375589406516724,unknown
1,unknown,0.17369773456330223,0.17369773456330223,unknown
1,unknown,0.390203492942112,0.390203492942112,unknown
1,unknown,0.34610306535731183,0.34610306535731183,unknown
1,unknown,0.1802790678429119,0.1802790678429119,unknown
1,unknown,0.5259008294370346,0.5259008294370346,unknown
1,unknown,0.32077042673598155,0.32077042673598155,unknown
1,unknown,0.3455170488383942,0.3455170488383942,unknown
1,unknown,0.29913513132805747,0.29913513132805747,unknown
1,unknown,0.16553795997868406,0.16553795997868406,unknown
1,unknown,0.625107015968689,0.625107015968689,unknown
1,unknown,0.22957089607487546,0.22957089607487546,unknown
1,unknown,0.49995983430487173,0.49995983430487173,unknown
1,unknown,0.304839161637085,0.304839161637085,unknown
1,unknown,0.38417285289328335,0.38417285289328335,unknown
1,unknown,0.4437970777944827,0.4437970777944827,unknown
1,unknown,0.46600707150157633,0.46600707150157633,unknown
1,unknown,0.35992221892144016,0.35992221892144016,unknown
1,unknown,0.6190268267069484,0.6190268267069484,unknown
1,unknown,0.23443513581032677,0.23443513581032677,unknown
1,unknown,0.32666093775505944,0.32666093775505944,unknown
1,unknown,0.18358856284494324,0.18358856284494324,unknown
1,unknown,0.33240354870329725,0.33240354870329725,unknown
1,unknown,0.21219689914460105,0.21219689914460105,unknown
1,unknown,0.28709345668818287,0.28709345668818287,unknown
0,toxic,0.5712039595013494,0.5712039595013494,toxic
1,unknown,0.22431474541197644,0.22431474541197644,unknown
1,unknown,0.3221198728707009,0.3221198728707009,unknown
1,unknown,0.2586005038904659,0.2586005038904659,unknown
1,unknown,0.21709483181010114,0.21709483181010114,unknown
1,unknown,0.21802101501698418,0.21802101501698418,unknown
0,toxic,0.14846421701888063,0.14846421701888063,toxic
1,unknown,0.5219563800964977,0.5219563800964977,unknown
1,unknown,0.20032180318112297,0.20032180318112297,unknown
1,unknown,0.37886999607350164,0.37886999607350164,unknown
1,unknown,0.38355180076416673,0.38355180076416673,unknown
1,unknown,0.375975773337143,0.375975773337143,unknown
1,unknown,0.43584657809790317,0.43584657809790317,unknown
1,unknown,0.26126228332783513,0.26126228332783513,unknown
1,unknown,0.3240771508243256,0.3240771508243256,unknown
1,unknown,0.23764854891280152,0.23764854891280152,unknown
1,unknown,0.0635413594790748,0.0635413594790748,unknown
0,toxic,0.3207283040479922,0.3207283040479922,toxic
1,unknown,0.41349544423174506,0.41349544423174506,unknown
1,unknown,0.4703135048514241,0.4703135048514241,unknown
1,unknown,0.27037973165776064,0.27037973165776064,unknown
1,unknown,0.1528571031379215,0.1528571031379215,unknown
1,unknown,0.21044154984930968,0.21044154984930968,unknown
1,unknown,0.28109439977879447,0.28109439977879447,unknown
1,unknown,0.5635487322742904,0.5635487322742904,unknown
1,unknown,0.16625646872500396,0.16625646872500396,unknown
1,unknown,0.18627985639552094,0.18627985639552094,unknown
1,unknown,0.4235129049019122,0.4235129049019122,unknown
1,unknown,0.7123255002939459,0.7123255002939459,unknown
1,unknown,0.7749669570171591,0.7749669570171591,unknown
