sentiment,LLM_response,EPR,EPR,LLM_response
1,unknown,0.30345071066468565,0.30345071066468565,unknown
1,unknown,0.09888220889940272,0.09888220889940272,unknown
1,unknown,0.09186902506723413,0.09186902506723413,unknown
1,unknown,0.27654399104142724,0.27654399104142724,unknown
0,positive,0.04034430845155725,0.04034430845155725,positive
1,unknown,0.09858805997743617,0.09858805997743617,unknown
1,unknown,0.2679990782876757,0.2679990782876757,unknown
1,unknown,0.5246676871267425,0.5246676871267425,unknown
1,unknown,0.5794164251193366,0.5794164251193366,unknown
1,unknown,0.40604498810792505,0.40604498810792505,unknown
1,unknown,0.16805818821389948,0.16805818821389948,unknown
1,unknown,0.3172817747697195,0.3172817747697195,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,0.3610817772867733,0.3610817772867733,unknown
1,unknown,0.6821279294560327,0.6821279294560327,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,0.1711568071981219,0.1711568071981219,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,0.2740847808840329,0.2740847808840329,unknown
1,unknown,0.3643286119803747,0.3643286119803747,unknown
1,unknown,0.13190652872522152,0.13190652872522152,unknown
1,unknown,0.12709175212755214,0.12709175212755214,unknown
1,unknown,0.24513281412149013,0.24513281412149013,unknown
1,unknown,0.5383373180118667,0.5383373180118667,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,0.3329607378348669,0.3329607378348669,unknown
1,unknown,0.24484310294587885,0.24484310294587885,unknown
1,unknown,0.3427735223909167,0.3427735223909167,unknown
1,unknown,0.1863399134434701,0.1863399134434701,unknown
1,unknown,0.9582709200451746,0.9582709200451746,unknown
1,unknown,0.2403902871134335,0.2403902871134335,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,0.19366374160249505,0.19366374160249505,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,0.1364412294186593,0.1364412294186593,unknown
1,unknown,0.7612681723902597,0.7612681723902597,unknown
1,unknown,0.18814308787782466,0.18814308787782466,unknown
1,unknown,0.31939709014916956,0.31939709014916956,unknown
1,unknown,0.04990334375276575,0.04990334375276575,unknown
1,unknown,0.20235624457795892,0.20235624457795892,unknown
1,unknown,0.15163177116289148,0.15163177116289148,unknown
1,unknown,0.38329536147141996,0.38329536147141996,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,0.26202770616014276,0.26202770616014276,unknown
1,unknown,0.17631501681829037,0.17631501681829037,unknown
1,unknown,0.22252562032453227,0.22252562032453227,unknown
1,unknown,0.5179845403537116,0.5179845403537116,unknown
1,unknown,1.1970941368376202,1.1970941368376202,unknown
1,unknown,0.08786018635232722,0.08786018635232722,unknown
1,unknown,0.06752702458276758,0.06752702458276758,unknown
1,unknown,0.16473063971002375,0.16473063971002375,unknown
1,unknown,0.5663191904171043,0.5663191904171043,unknown
1,unknown,0.39429021762124705,0.39429021762124705,unknown
1,unknown,0.09998295767679224,0.09998295767679224,unknown
1,unknown,0.19033398492708214,0.19033398492708214,unknown
